model,split,threshold,accuracy,balanced_accuracy,precision,recall,f1,false_positives,false_negatives
joint_rule_optimized,dev,0.75,0.8285714285714286,0.85,1.0,0.7,0.8235294117647058,0,24
joint_rule_optimized,dev,0.8,0.6142857142857143,0.6625,1.0,0.325,0.49056603773584906,0,54
joint_rule_optimized,dev,0.85,0.6142857142857143,0.6625,1.0,0.325,0.49056603773584906,0,54
joint_rule_optimized,dev,0.9,0.5928571428571429,0.64375,1.0,0.2875,0.44660194174757284,0,57
joint_rule_optimized,dev,0.95,0.5928571428571429,0.64375,1.0,0.2875,0.44660194174757284,0,57
joint_meta,dev,0.05,0.85,0.825,0.7920792079207921,1.0,0.8839779005524862,21,0
joint_meta,dev,0.1,0.8857142857142857,0.8666666666666667,0.8333333333333334,1.0,0.9090909090909091,16,0
joint_meta,dev,0.15,0.9642857142857143,0.9583333333333333,0.9411764705882353,1.0,0.9696969696969697,5,0
joint_meta,dev,0.2,0.9714285714285714,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561,4,0
joint_meta,dev,0.25,0.9857142857142858,0.9833333333333334,0.975609756097561,1.0,0.9876543209876543,2,0
joint_meta,dev,0.3,0.9928571428571429,0.9916666666666667,0.9876543209876543,1.0,0.9937888198757764,1,0
joint_meta,dev,0.35,0.9857142857142858,0.9854166666666666,0.9875,0.9875,0.9875,1,1
joint_meta,dev,0.4,0.9857142857142858,0.9854166666666666,0.9875,0.9875,0.9875,1,1
joint_meta,dev,0.45,0.9857142857142858,0.9875,1.0,0.975,0.9873417721518988,0,2
joint_meta,dev,0.5,0.9857142857142858,0.9875,1.0,0.975,0.9873417721518988,0,2
joint_meta,dev,0.55,0.9857142857142858,0.9875,1.0,0.975,0.9873417721518988,0,2
joint_meta,dev,0.6,0.9857142857142858,0.9875,1.0,0.975,0.9873417721518988,0,2
joint_meta,dev,0.65,0.9857142857142858,0.9875,1.0,0.975,0.9873417721518988,0,2
joint_meta,dev,0.7,0.9857142857142858,0.9875,1.0,0.975,0.9873417721518988,0,2
joint_meta,dev,0.75,0.9785714285714285,0.98125,1.0,0.9625,0.9808917197452229,0,3
joint_meta,dev,0.8,0.9785714285714285,0.98125,1.0,0.9625,0.9808917197452229,0,3
joint_meta,dev,0.85,0.9785714285714285,0.98125,1.0,0.9625,0.9808917197452229,0,3
joint_meta,dev,0.9,0.8857142857142857,0.9,1.0,0.8,0.8888888888888888,0,16
joint_meta,dev,0.95,0.7785714285714286,0.80625,1.0,0.6125,0.7596899224806202,0,31
